Minggu,Insiden
1,74
2,90
3,113
4,78
5,96
6,72
7,88
8,96
9,104
10,112
11,120
12,155
13,136
14,158
15,173
16,190
17,184
18,167
19,162
20,199
21,226
22,169
23,126
24,118
25,136
26,129
27,109
28,121
29,109
30,98
31,90
32,75
33,62
34,82
35,53
36,79
37,55
38,46
39,71
40,50
41,57
42,59
43,43
44,50
45,62
46,56
47,65
48,88
49,85
50,118
51,189
52,181
53,217
54,217
55,329
56,314
57,373
58,442
59,639
60,764
61,772
62,808
63,848
64,839
65,815
66,886
67,574
68,391
69,598
70,634
71,607
72,568
73,596
74,587
75,516
76,373
77,436
78,324
79,228
80,197
81,168
82,135
83,111
84,93
85,86
86,63
87,56
88,67
89,41
90,47
91,44
92,43
93,36
94,42
95,42
96,57
97,47
98,51
99,49
100,59
101,56
102,66
103,76
104,87
105,100
106,101
107,101
108,100
109,172
110,129
111,152
112,231
113,249
114,292
115,367
116,470
117,498
118,586
119,478
120,389
121,401
122,380
123,348
124,365
125,361
126,352
127,260
128,200
129,186
130,152
131,124
132,99
133,68
134,89
135,78
136,58
137,37
138,30
139,50
140,25
141,38
142,25
143,18
144,21
145,17
146,14
147,9
148,13
149,15
150,18
151,19
152,24
153,28
154,28
155,29
156,32
157,34
158,30
159,31
160,30
161,51
162,35
163,29
164,44
165,40
166,50
167,58
168,57
169,76
170,100
171,103
172,127
173,156
174,158
175,178
176,157
177,199
178,240
179,239
180,211
181,198
182,187
183,166
184,48
185,41
186,62
187,54
188,66
189,66
190,96
191,92
192,87
193,112
194,129
195,140
196,158
197,141
198,115
199,89
200,124
201,109
202,135
203,123
204,135
205,162
206,164
207,196
208,200
209,244
210,222
211,230
212,324
213,324
214,358
215,361
216,295
217,227
218,187
219,211
220,239
221,271
222,354
223,338
224,317
225,410
226,464
227,383
228,353
229,359
230,360
231,439
232,426
233,439
234,360
235,341
236,325
237,354
238,353
239,355
240,407
241,377
242,300
243,336
244,274
245,251
246,245
247,211
248,216
249,204
250,171
251,167
252,151
253,172
254,183
255,158
256,181
257,198
258,175
259,188
260,180
261,184
262,188
263,169
264,194
265,178
266,178
267,187
268,199
269,193
270,189
271,211
272,167
273,158
274,170
275,181
276,239
277,238
278,264
279,271
280,275
281,221
282,267
283,275
284,222
285,194
286,179
287,165
288,164
289,151
290,171
291,131
292,115
293,136
294,159
295,109
296,89
297,98
298,167
299,159
300,149
301,152
302,144
303,99
304,98
305,102
306,99
307,94
308,78
309,84
310,76
311,87
312,62
313,69
314,78
315,89
316,63
317,77
318,100
319,100
320,160
321,144
322,193
323,189
324,281
325,318
326,409
327,552
328,629
329,716
330,812
331,930
332,1008
333,833
334,1135
335,1206
336,1047
337,1025
338,1041
339,844
340,740
341,640
342,480
343,379
344,350
345,288
346,300
347,283
348,341
349,302
350,287
351,287
352,230
353,213
354,224
355,171
356,125
357,130
358,123
359,154
360,112
361,131
362,146
363,114
364,119
365,143
366,180
367,170
368,189
369,199
370,205
371,244
372,244
373,269
374,304
375,306
376,232
377,322
378,303
379,308
380,356
381,352
382,388
383,487
384,352
385,349
386,484
387,450
388,488
389,448
390,513
391,424
392,440
393,401
394,368
395,423
396,446
397,408
398,422
399,425
400,443
401,474
402,463
403,438
404,412
405,369
406,316
407,297
408,292
409,329
410,291
411,300
412,253
413,275
414,257
415,233
416,239
417,206
418,200
419,173
420,212
421,204
422,192
423,166
424,164
