Tahun,Minggu,Insiden,Sembuh
2017,1,50,2
2017,2,54,2
2017,3,45,0
2017,4,41,0
2017,5,20,0
2017,6,26,2
2017,7,18,0
2017,8,20,1
2017,9,21,1
2017,10,20,2
2017,11,25,4
2017,12,23,1
2017,13,24,1
2017,14,11,0
2017,15,18,2
2017,16,20,0
2017,17,15,0
2017,18,20,1
2017,19,20,2
2017,20,22,2
2017,21,15,1
2017,22,13,1
2017,23,10,0
2017,24,10,0
2017,25,9,0
2017,26,9,0
2017,27,13,0
2017,28,10,2
2017,29,7,2
2017,30,9,0
2017,31,9,1
2017,32,8,0
2017,33,6,0
2017,34,6,0
2017,35,13,0
2017,36,8,1
2017,37,8,2
2017,38,7,0
2017,39,9,0
2017,40,9,0
2017,41,21,1
2017,42,14,1
2017,43,21,0
2017,44,12,3
2017,45,7,1
2017,46,10,3
2017,47,11,0
2017,48,7,0
2017,49,15,1
2017,50,17,4
2017,51,13,0
2017,52,7,1
2017,53,13,0
2018,54,13,0
2018,55,18,0
2018,56,16,2
2018,57,15,1
2018,58,9,1
2018,59,10,1
2018,60,15,1
2018,61,19,2
2018,62,23,1
2018,63,19,0
2018,64,21,0
2018,65,26,3
2018,66,28,0
2018,67,29,4
2018,68,33,3
2018,69,30,6
2018,70,52,1
2018,71,32,2
2018,72,29,6
2018,73,38,4
2018,74,45,1
2018,75,30,1
2018,76,24,0
2018,77,22,2
2018,78,28,4
2018,79,28,2
2018,80,18,5
2018,81,23,0
2018,82,21,3
2018,83,14,1
2018,84,15,0
2018,85,18,2
2018,86,12,1
2018,87,22,1
2018,88,9,1
2018,89,22,1
2018,90,5,2
2018,91,7,1
2018,92,17,4
2018,93,8,1
2018,94,14,0
2018,95,19,0
2018,96,11,3
2018,97,12,1
2018,98,8,0
2018,99,18,2
2018,100,17,2
2018,101,23,2
2018,102,22,3
2018,103,20,4
2018,104,39,5
2018,105,47,3
2018,106,33,6
2019,107,33,6
2019,108,60,5
2019,109,57,14
2019,110,86,8
2019,111,98,8
2019,112,118,3
2019,113,144,15
2019,114,178,17
2019,115,159,16
2019,116,169,16
2019,117,165,2
2019,118,166,11
2019,119,185,7
2019,120,141,10
2019,121,76,11
2019,122,133,2
2019,123,138,1
2019,124,121,8
2019,125,106,4
2019,126,104,5
2019,127,102,4
2019,128,89,2
2019,129,51,9
2019,130,70,9
2019,131,60,5
2019,132,39,4
2019,133,33,3
2019,134,18,0
2019,135,25,4
2019,136,17,1
2019,137,18,0
2019,138,14,0
2019,139,9,2
2019,140,9,0
2019,141,10,1
2019,142,2,0
2019,143,14,0
2019,144,13,1
2019,145,12,2
2019,146,8,4
2019,147,9,1
2019,148,9,0
2019,149,9,1
2019,150,15,0
2019,151,9,2
2019,152,6,1
2019,153,16,0
2019,154,18,1
2019,155,11,2
2019,156,19,0
2019,157,17,2
2019,158,24,0
2019,159,9,6
2020,160,9,6
2020,161,10,0
2020,162,33,1
2020,163,20,1
2020,164,34,2
2020,165,41,4
2020,166,47,0
2020,167,72,2
2020,168,85,5
2020,169,113,2
2020,170,113,5
2020,171,124,2
2020,172,98,3
2020,173,72,8
2020,174,105,6
2020,175,93,11
2020,176,69,7
2020,177,77,6
2020,178,81,1
2020,179,67,3
2020,180,50,3
2020,181,37,0
2020,182,45,1
2020,183,26,1
2020,184,24,1
2020,185,32,1
2020,186,20,1
2020,187,11,0
2020,188,11,0
2020,189,12,0
2020,190,4,0
2020,191,6,2
2020,192,7,3
2020,193,7,2
2020,194,8,1
2020,195,5,4
2020,196,2,2
2020,197,4,6
2020,198,5,1
2020,199,2,4
2020,200,2,0
2020,201,1,1
2020,202,5,0
2020,203,3,0
2020,204,7,2
2020,205,8,1
2020,206,5,0
2020,207,3,2
2020,208,7,1
2020,209,4,2
2020,210,6,0
2020,211,5,2
2020,212,2,0
2021,213,3,1
2021,214,7,0
2021,215,4,0
2021,216,2,1
2021,217,8,0
2021,218,2,0
2021,219,9,0
2021,220,9,1
2021,221,7,0
2021,222,13,1
2021,223,23,0
2021,224,18,1
2021,225,26,1
2021,226,26,0
2021,227,31,0
2021,228,26,2
2021,229,27,1
2021,230,32,7
2021,231,33,3
2021,232,28,5
2021,233,29,9
2021,234,21,6
2021,235,33,9
2021,236,18,4
2021,237,7,0
2021,238,3,0
2021,239,6,2
2021,240,2,4
2021,241,5,0
2021,242,5,0
2021,243,11,1
2021,244,23,0
2021,245,16,1
2021,246,21,0
2021,247,29,2
2021,248,29,2
2021,249,33,4
2021,250,20,3
2021,251,16,5
2021,252,11,8
2021,253,18,4
2021,254,20,4
2021,255,31,2
2021,256,27,3
2021,257,19,3
2021,258,37,4
2021,259,31,0
2021,260,32,0
2021,261,38,3
2021,262,37,2
2021,263,34,1
2021,264,45,0
2021,265,71,2
2022,266,71,2
2022,267,73,3
2022,268,46,2
2022,269,66,4
2022,270,31,3
2022,271,41,3
2022,272,44,5
2022,273,50,7
2022,274,40,3
2022,275,57,1
2022,276,66,3
2022,277,57,2
2022,278,80,6
2022,279,107,5
2022,280,70,4
2022,281,67,6
2022,282,73,7
2022,283,66,8
2022,284,64,3
2022,285,81,5
2022,286,62,6
2022,287,61,7
2022,288,62,6
2022,289,62,4
2022,290,54,8
2022,291,73,15
2022,292,61,10
2022,293,92,11
2022,294,67,8
2022,295,56,12
2022,296,49,2
2022,297,60,5
2022,298,40,1
2022,299,38,3
2022,300,34,7
2022,301,45,10
2022,302,44,8
2022,303,33,8
2022,304,27,7
2022,305,33,4
2022,306,30,7
2022,307,37,3
2022,308,25,2
2022,309,41,5
2022,310,31,4
2022,311,39,5
2022,312,33,6
2022,313,32,2
2022,314,20,8
2022,315,21,1
2022,316,50,4
2022,317,39,11
2022,318,37,12
2023,319,37,12
2023,320,42,11
2023,321,45,11
2023,322,35,9
2023,323,26,6
2023,324,27,8
2023,325,37,11
2023,326,30,5
2023,327,27,8
2023,328,32,8
2023,329,38,6
2023,330,33,4
2023,331,54,1
2023,332,57,7
2023,333,53,6
2023,334,52,3
2023,335,63,7
2023,336,49,18
2023,337,71,16
2023,338,48,12
2023,339,36,6
2023,340,33,5
2023,341,28,6
2023,342,35,7
2023,343,23,1
2023,344,21,3
2023,345,18,7
2023,346,32,3
2023,347,30,5
2023,348,21,6
2023,349,15,4
2023,350,18,2
2023,351,33,7
2023,352,34,8
2023,353,24,11
2023,354,32,8
2023,355,35,11
2023,356,19,3
2023,357,19,2
2023,358,23,7
2023,359,18,5
2023,360,23,10
2023,361,22,5
2023,362,21,0
2023,363,20,4
2023,364,14,3
2023,365,14,3
2023,366,16,0
2023,367,14,1
2023,368,16,2
2023,369,15,3
2023,370,18,2
2023,371,21,8
2024,372,21,8
2024,373,33,9
2024,374,22,13
2024,375,35,13
2024,376,53,14
2024,377,73,7
2024,378,72,28
2024,379,79,42
2024,380,114,30
2024,381,148,44
2024,382,156,51
2024,383,156,52
2024,384,169,64
2024,385,167,69
2024,386,148,62
2024,387,227,56
2024,388,245,57
2024,389,171,69
2024,390,210,69
2024,391,227,47
2024,392,150,57
2024,393,140,35
2024,394,136,28
2024,395,90,13
2024,396,90,12
2024,397,100,15
2024,398,54,15
2024,399,66,17
2024,400,67,10
2024,401,65,15
2024,402,73,16
2024,403,58,8
2024,404,65,4
2024,405,52,13
2024,406,56,11
2024,407,61,8
2024,408,38,8
2024,409,29,7
2024,410,33,2
2024,411,35,3
2024,412,37,4
2024,413,17,2
2024,414,38,3
2024,415,40,4
2024,416,31,3
2024,417,29,5
2024,418,36,6
2024,419,47,4
2024,420,54,4
2024,421,38,10
2024,422,45,9
2024,423,55,11
2024,424,59,8
2025,425,59,8
2025,426,80,7
2025,427,70,13
2025,428,64,9
2025,429,60,8
2025,430,82,14
2025,431,74,9
2025,432,101,10
2025,433,81,8
2025,434,92,14
2025,435,92,21
2025,436,124,21
2025,437,97,12
2025,438,95,26
2025,439,143,22
2025,440,105,15
2025,441,125,20
2025,442,124,18
2025,443,140,25
2025,444,108,21
2025,445,104,18
2025,446,92,17
2025,447,69,16
2025,448,119,13
2025,449,112,15
2025,450,106,10
2025,451,99,9
2025,452,111,19
2025,453,140,14
2025,454,116,15
2025,455,117,27
2025,456,114,24
2025,457,122,18
2025,458,88,13
2025,459,73,14
2025,460,97,20
2025,461,74,16
2025,462,92,16
2025,463,80,10
2025,464,81,15
2025,465,74,18
2025,466,55,9
2025,467,64,9
2025,468,73,8
2025,469,78,9
2025,470,64,10
2025,471,53,11
2025,472,44,10
2025,473,70,13
2025,474,66,9
2025,475,53,1
2025,476,43,10
2025,477,28,12
