Tahun,Minggu,Insiden,Sembuh
2017,1,21,1
2017,2,18,3
2017,3,21,1
2017,4,19,0
2017,5,16,1
2017,6,16,3
2017,7,13,1
2017,8,10,0
2017,9,18,0
2017,10,13,1
2017,11,16,0
2017,12,21,0
2017,13,11,0
2017,14,20,0
2017,15,11,1
2017,16,10,0
2017,17,8,0
2017,18,5,1
2017,19,14,1
2017,20,10,0
2017,21,15,0
2017,22,18,0
2017,23,12,0
2017,24,11,0
2017,25,6,0
2017,26,9,0
2017,27,9,0
2017,28,10,0
2017,29,6,0
2017,30,10,0
2017,31,5,1
2017,32,8,0
2017,33,6,1
2017,34,9,0
2017,35,5,0
2017,36,7,0
2017,37,10,0
2017,38,2,0
2017,39,2,0
2017,40,6,0
2017,41,7,0
2017,42,6,0
2017,43,6,0
2017,44,7,1
2017,45,9,0
2017,46,10,1
2017,47,13,0
2017,48,4,0
2017,49,10,2
2017,50,10,0
2017,51,8,1
2017,52,9,3
2017,53,4,0
2018,54,4,0
2018,55,7,0
2018,56,4,0
2018,57,10,0
2018,58,18,0
2018,59,11,0
2018,60,11,0
2018,61,10,2
2018,62,9,0
2018,63,9,1
2018,64,18,1
2018,65,22,3
2018,66,12,2
2018,67,18,2
2018,68,25,2
2018,69,24,1
2018,70,21,2
2018,71,20,0
2018,72,27,3
2018,73,23,0
2018,74,19,1
2018,75,16,1
2018,76,12,0
2018,77,5,1
2018,78,11,3
2018,79,9,1
2018,80,10,0
2018,81,11,2
2018,82,8,0
2018,83,7,1
2018,84,7,0
2018,85,5,0
2018,86,7,1
2018,87,7,0
2018,88,3,0
2018,89,7,0
2018,90,8,4
2018,91,2,0
2018,92,8,1
2018,93,1,1
2018,94,6,0
2018,95,6,2
2018,96,3,1
2018,97,6,0
2018,98,6,1
2018,99,4,1
2018,100,3,1
2018,101,6,3
2018,102,3,0
2018,103,5,3
2018,104,14,1
2018,105,11,1
2018,106,12,1
2019,107,12,1
2019,108,28,0
2019,109,21,1
2019,110,25,2
2019,111,38,2
2019,112,41,11
2019,113,60,9
2019,114,67,17
2019,115,75,8
2019,116,92,19
2019,117,90,13
2019,118,87,17
2019,119,85,18
2019,120,56,15
2019,121,39,15
2019,122,51,22
2019,123,56,14
2019,124,65,9
2019,125,35,5
2019,126,66,9
2019,127,61,6
2019,128,44,6
2019,129,29,1
2019,130,38,8
2019,131,29,6
2019,132,23,4
2019,133,17,7
2019,134,19,8
2019,135,10,0
2019,136,17,1
2019,137,6,0
2019,138,8,2
2019,139,10,3
2019,140,6,1
2019,141,7,0
2019,142,4,6
2019,143,3,3
2019,144,6,1
2019,145,6,0
2019,146,2,1
2019,147,4,3
2019,148,4,1
2019,149,8,1
2019,150,6,1
2019,151,7,1
2019,152,5,0
2019,153,8,1
2019,154,10,3
2019,155,4,0
2019,156,5,0
2019,157,5,0
2019,158,8,0
2019,159,10,0
2020,160,10,0
2020,161,12,2
2020,162,22,3
2020,163,9,2
2020,164,8,4
2020,165,27,5
2020,166,24,11
2020,167,39,10
2020,168,30,2
2020,169,45,17
2020,170,39,22
2020,171,59,16
2020,172,46,12
2020,173,47,15
2020,174,44,13
2020,175,38,13
2020,176,36,6
2020,177,36,5
2020,178,37,7
2020,179,33,4
2020,180,17,4
2020,181,17,1
2020,182,6,3
2020,183,3,1
2020,184,5,0
2020,185,7,1
2020,186,3,2
2020,187,7,2
2020,188,6,0
2020,189,7,0
2020,190,3,0
2020,191,0,1
2020,192,1,1
2020,193,3,0
2020,194,2,0
2020,195,0,0
2020,196,0,0
2020,197,1,1
2020,198,0,3
2020,199,0,0
2020,200,0,0
2020,201,0,0
2020,202,1,0
2020,203,0,0
2020,204,1,1
2020,205,1,0
2020,206,2,0
2020,207,2,0
2020,208,3,2
2020,209,1,2
2020,210,2,0
2020,211,1,0
2020,212,1,1
2021,213,2,1
2021,214,3,0
2021,215,2,0
2021,216,0,1
2021,217,1,0
2021,218,2,2
2021,219,1,1
2021,220,6,0
2021,221,3,1
2021,222,4,1
2021,223,3,1
2021,224,4,5
2021,225,9,2
2021,226,13,1
2021,227,4,6
2021,228,9,1
2021,229,11,1
2021,230,14,3
2021,231,10,6
2021,232,11,2
2021,233,16,2
2021,234,9,5
2021,235,9,2
2021,236,13,4
2021,237,3,1
2021,238,1,1
2021,239,2,1
2021,240,1,2
2021,241,0,1
2021,242,0,0
2021,243,4,1
2021,244,3,1
2021,245,3,0
2021,246,4,0
2021,247,8,1
2021,248,3,0
2021,249,11,2
2021,250,5,3
2021,251,6,1
2021,252,10,4
2021,253,5,4
2021,254,4,3
2021,255,0,3
2021,256,6,3
2021,257,13,5
2021,258,10,2
2021,259,7,3
2021,260,20,3
2021,261,9,2
2021,262,17,1
2021,263,14,2
2021,264,12,3
2021,265,21,10
2022,266,21,10
2022,267,21,8
2022,268,23,9
2022,269,18,8
2022,270,13,6
2022,271,11,2
2022,272,17,9
2022,273,18,6
2022,274,16,10
2022,275,26,8
2022,276,40,10
2022,277,28,12
2022,278,39,17
2022,279,32,15
2022,280,49,8
2022,281,34,5
2022,282,36,8
2022,283,41,7
2022,284,51,9
2022,285,44,14
2022,286,52,7
2022,287,37,11
2022,288,29,7
2022,289,24,8
2022,290,41,4
2022,291,26,2
2022,292,35,12
2022,293,41,6
2022,294,38,6
2022,295,34,1
2022,296,40,6
