Tahun,Minggu,Insiden,Sembuh
2017,1,62,20
2017,2,56,7
2017,3,50,3
2017,4,38,4
2017,5,57,7
2017,6,30,4
2017,7,32,2
2017,8,29,3
2017,9,51,1
2017,10,19,2
2017,11,39,7
2017,12,31,1
2017,13,39,8
2017,14,28,8
2017,15,32,6
2017,16,34,5
2017,17,27,2
2017,18,31,8
2017,19,23,10
2017,20,19,9
2017,21,29,8
2017,22,25,12
2017,23,25,4
2017,24,22,6
2017,25,8,2
2017,26,13,0
2017,27,15,2
2017,28,10,0
2017,29,10,3
2017,30,7,0
2017,31,7,2
2017,32,10,0
2017,33,3,1
2017,34,13,2
2017,35,10,0
2017,36,11,1
2017,37,6,1
2017,38,12,2
2017,39,12,0
2017,40,12,5
2017,41,10,1
2017,42,22,0
2017,43,10,3
2017,44,24,7
2017,45,14,11
2017,46,18,8
2017,47,32,4
2017,48,18,3
2017,49,21,4
2017,50,20,9
2017,51,24,4
2017,52,18,5
2017,53,16,6
2018,54,16,6
2018,55,16,7
2018,56,40,3
2018,57,11,3
2018,58,20,1
2018,59,23,3
2018,60,24,4
2018,61,18,9
2018,62,34,8
2018,63,29,7
2018,64,25,5
2018,65,27,5
2018,66,27,15
2018,67,29,7
2018,68,25,8
2018,69,44,4
2018,70,25,4
2018,71,38,9
2018,72,27,19
2018,73,35,9
2018,74,50,13
2018,75,29,13
2018,76,25,6
2018,77,34,11
2018,78,35,14
2018,79,28,12
2018,80,35,3
2018,81,35,11
2018,82,25,3
2018,83,29,6
2018,84,19,0
2018,85,16,2
2018,86,15,7
2018,87,23,5
2018,88,13,4
2018,89,20,0
2018,90,18,0
2018,91,18,5
2018,92,13,0
2018,93,17,1
2018,94,9,2
2018,95,8,2
2018,96,10,3
2018,97,14,2
2018,98,22,4
2018,99,18,3
2018,100,18,2
2018,101,29,6
2018,102,27,8
2018,103,43,5
2018,104,58,10
2018,105,64,12
2018,106,74,26
2019,107,74,26
2019,108,83,36
2019,109,100,31
2019,110,82,29
2019,111,114,27
2019,112,172,32
2019,113,205,24
2019,114,146,30
2019,115,159,10
2019,116,158,53
2019,117,157,17
2019,118,150,24
2019,119,132,40
2019,120,96,26
2019,121,53,18
2019,122,93,25
2019,123,85,35
2019,124,97,21
2019,125,95,25
2019,126,84,25
2019,127,82,17
2019,128,89,13
2019,129,73,17
2019,130,76,23
2019,131,41,12
2019,132,32,13
2019,133,31,11
2019,134,37,7
2019,135,32,5
2019,136,22,2
2019,137,25,6
2019,138,28,2
2019,139,9,1
2019,140,6,1
2019,141,18,2
2019,142,9,2
2019,143,5,1
2019,144,6,1
2019,145,5,3
2019,146,6,2
2019,147,6,4
2019,148,5,0
2019,149,10,0
2019,150,6,2
2019,151,13,2
2019,152,10,2
2019,153,12,3
2019,154,7,0
2019,155,18,2
2019,156,16,3
2019,157,13,2
2019,158,23,0
2019,159,25,6
2020,160,25,6
2020,161,29,6
2020,162,29,6
2020,163,34,8
2020,164,30,5
2020,165,50,5
2020,166,60,6
2020,167,78,8
2020,168,103,7
2020,169,101,17
2020,170,114,11
2020,171,109,19
2020,172,91,9
2020,173,71,8
2020,174,73,15
2020,175,47,14
2020,176,45,12
2020,177,45,12
2020,178,47,4
2020,179,46,5
2020,180,30,6
2020,181,32,5
2020,182,34,6
2020,183,43,7
