Tahun,Minggu,Insiden,Sembuh
2017,1,112,26
2017,2,109,11
2017,3,75,8
2017,4,81,18
2017,5,85,14
2017,6,70,15
2017,7,72,4
2017,8,49,13
2017,9,81,8
2017,10,70,8
2017,11,82,13
2017,12,75,9
2017,13,68,19
2017,14,60,16
2017,15,75,17
2017,16,75,5
2017,17,58,9
2017,18,40,10
2017,19,78,10
2017,20,43,9
2017,21,44,11
2017,22,59,5
2017,23,38,8
2017,24,28,4
2017,25,28,2
2017,26,34,2
2017,27,28,6
2017,28,29,2
2017,29,23,6
2017,30,31,1
2017,31,33,1
2017,32,22,3
2017,33,31,0
2017,34,15,0
2017,35,18,0
2017,36,18,0
2017,37,31,0
2017,38,23,3
2017,39,15,0
2017,40,32,1
2017,41,31,3
2017,42,36,1
2017,43,42,2
2017,44,41,1
2017,45,29,3
2017,46,36,1
2017,47,47,2
2017,48,34,2
2017,49,37,1
2017,50,27,0
2017,51,26,0
2017,52,22,0
2017,53,35,0
2018,54,35,0
2018,55,35,0
2018,56,29,0
2018,57,27,0
2018,58,33,1
2018,59,20,0
2018,60,26,0
2018,61,32,2
2018,62,27,0
2018,63,34,1
2018,64,38,1
2018,65,49,2
2018,66,34,2
2018,67,60,8
2018,68,63,2
2018,69,65,3
2018,70,57,2
2018,71,59,4
2018,72,57,4
2018,73,68,7
2018,74,75,4
2018,75,68,2
2018,76,46,3
2018,77,33,3
2018,78,46,4
2018,79,48,2
2018,80,34,5
2018,81,44,1
2018,82,49,0
2018,83,37,0
2018,84,36,0
2018,85,26,2
2018,86,21,1
2018,87,20,3
2018,88,21,0
2018,89,16,2
2018,90,9,0
2018,91,17,2
2018,92,23,4
2018,93,15,2
2018,94,17,0
2018,95,17,0
2018,96,11,1
2018,97,10,0
2018,98,19,0
2018,99,9,4
2018,100,14,0
2018,101,26,1
2018,102,15,1
2018,103,35,0
2018,104,63,4
2018,105,46,2
2018,106,68,0
2019,107,68,0
2019,108,109,2
2019,109,95,15
2019,110,121,4
2019,111,128,5
2019,112,181,4
2019,113,210,15
2019,114,214,15
2019,115,229,5
2019,116,237,9
2019,117,222,23
2019,118,231,14
2019,119,310,16
2019,120,186,13
2019,121,136,7
2019,122,194,7
2019,123,227,6
2019,124,220,13
2019,125,232,9
2019,126,263,12
2019,127,226,6
2019,128,201,18
2019,129,134,20
2019,130,167,4
2019,131,128,5
2019,132,83,1
2019,133,78,4
2019,134,61,4
2019,135,47,2
2019,136,37,1
2019,137,28,2
2019,138,20,0
2019,139,26,1
2019,140,26,2
2019,141,16,0
2019,142,17,0
2019,143,17,0
2019,144,8,0
2019,145,16,1
2019,146,14,1
2019,147,14,0
2019,148,8,0
2019,149,20,0
2019,150,12,0
2019,151,10,0
2019,152,14,0
2019,153,17,0
2019,154,15,0
2019,155,25,0
2019,156,20,0
2019,157,34,1
2019,158,36,0
2019,159,34,1
2020,160,34,1
2020,161,29,1
2020,162,51,0
2020,163,43,0
2020,164,50,0
2020,165,69,1
2020,166,72,2
2020,167,70,6
2020,168,95,4
2020,169,140,10
2020,170,155,10
2020,171,187,7
2020,172,156,14
2020,173,121,8
2020,174,111,8
2020,175,116,7
2020,176,96,6
2020,177,139,5
2020,178,124,20
2020,179,114,6
2020,180,108,6
2020,181,73,2
2020,182,66,2
2020,183,58,9
2020,184,46,3
2020,185,29,3
2020,186,28,2
2020,187,27,3
2020,188,26,0
2020,189,21,2
2020,190,14,0
2020,191,10,0
2020,192,24,1
2020,193,11,1
2020,194,15,1
2020,195,12,1
2020,196,6,2
2020,197,10,0
2020,198,7,0
2020,199,7,0
2020,200,1,0
2020,201,6,2
2020,202,4,3
2020,203,3,0
2020,204,8,0
2020,205,10,1
2020,206,13,0
2020,207,13,0
2020,208,7,2
2020,209,16,2
2020,210,14,5
2020,211,17,0
2020,212,18,1
2021,213,10,2
2021,214,26,3
2021,215,17,2
2021,216,16,3
2021,217,16,1
2021,218,13,2
2021,219,26,1
2021,220,29,2
2021,221,29,1
2021,222,30,2
2021,223,36,7
2021,224,39,2
2021,225,57,2
2021,226,73,18
