Tahun,Minggu,Insiden,Sembuh
2017,1,42,7
2017,2,39,3
2017,3,38,2
2017,4,29,5
2017,5,39,4
2017,6,33,2
2017,7,17,4
2017,8,17,4
2017,9,44,2
2017,10,27,0
2017,11,33,1
2017,12,33,3
2017,13,47,3
2017,14,32,6
2017,15,27,1
2017,16,14,1
2017,17,20,3
2017,18,34,0
2017,19,22,0
2017,20,15,1
2017,21,21,4
2017,22,43,0
2017,23,23,0
2017,24,18,1
2017,25,13,1
2017,26,21,4
2017,27,21,0
2017,28,14,0
2017,29,17,0
2017,30,14,0
2017,31,18,0
2017,32,11,0
2017,33,2,0
2017,34,17,0
2017,35,12,0
2017,36,9,0
2017,37,10,0
2017,38,10,0
2017,39,14,0
2017,40,17,0
2017,41,19,1
2017,42,22,1
2017,43,22,2
2017,44,27,2
2017,45,30,7
2017,46,17,3
2017,47,30,3
2017,48,15,7
2017,49,22,2
2017,50,12,1
2017,51,10,3
2017,52,19,3
2017,53,6,0
2018,54,6,0
2018,55,14,2
2018,56,24,0
2018,57,15,2
2018,58,16,1
2018,59,8,1
2018,60,12,0
2018,61,17,4
2018,62,11,1
2018,63,21,3
2018,64,18,2
2018,65,31,0
2018,66,35,0
2018,67,22,1
2018,68,27,2
2018,69,27,1
2018,70,29,2
2018,71,18,5
2018,72,22,4
2018,73,35,4
2018,74,37,4
2018,75,26,1
2018,76,19,4
2018,77,24,2
2018,78,16,1
2018,79,16,1
2018,80,12,2
2018,81,8,1
2018,82,6,1
2018,83,11,1
2018,84,13,2
2018,85,10,2
2018,86,7,2
2018,87,10,0
2018,88,7,5
2018,89,14,1
2018,90,15,0
2018,91,2,4
2018,92,10,1
2018,93,9,2
2018,94,11,1
2018,95,9,1
2018,96,8,3
2018,97,8,3
2018,98,7,1
2018,99,7,3
2018,100,13,0
2018,101,4,1
2018,102,18,0
2018,103,15,1
2018,104,15,0
2018,105,13,0
2018,106,30,4
2019,107,30,4
2019,108,49,3
2019,109,41,2
2019,110,59,4
2019,111,64,5
2019,112,127,4
2019,113,145,5
2019,114,167,14
2019,115,186,7
2019,116,192,13
2019,117,205,11
2019,118,181,21
2019,119,174,13
2019,120,95,6
2019,121,87,8
2019,122,127,5
2019,123,128,10
2019,124,104,14
2019,125,100,20
2019,126,79,9
2019,127,116,11
2019,128,93,5
2019,129,86,10
2019,130,85,10
2019,131,66,9
2019,132,51,3
2019,133,38,4
2019,134,33,6
2019,135,21,4
2019,136,18,1
2019,137,16,1
2019,138,16,3
2019,139,9,1
2019,140,9,4
2019,141,16,1
2019,142,9,0
2019,143,8,2
2019,144,11,3
2019,145,4,0
2019,146,6,2
2019,147,9,2
2019,148,16,1
2019,149,10,1
2019,150,8,1
2019,151,12,3
2019,152,14,0
2019,153,6,1
2019,154,6,3
2019,155,8,5
2019,156,16,4
2019,157,18,5
2019,158,9,6
2019,159,23,5
2020,160,23,5
2020,161,20,3
2020,162,37,8
2020,163,23,6
2020,164,30,8
2020,165,44,4
2020,166,46,9
2020,167,33,8
2020,168,54,4
2020,169,71,18
