Minggu,Insiden,Recovered
1,74,6
2,90,9
3,113,5
4,78,6
5,96,4
6,72,5
7,88,5
8,96,19
9,104,10
10,112,12
11,120,9
12,155,13
13,136,19
14,158,22
15,173,17
16,190,15
17,184,11
18,167,20
19,162,36
20,199,24
21,226,23
22,169,18
23,126,13
24,118,19
25,136,26
26,129,18
27,109,15
28,121,15
29,109,7
30,98,9
31,90,2
32,75,8
33,62,12
34,82,9
35,53,10
36,79,4
37,55,6
38,46,12
39,71,10
40,50,7
41,57,3
42,59,5
43,43,11
44,50,6
45,62,6
46,56,13
47,65,5
48,88,13
49,85,12
50,118,13
51,189,20
52,181,18
53,217,37
54,217,37
55,329,46
56,314,63
57,373,47
58,442,47
59,639,54
60,764,68
61,772,93
62,808,46
63,848,110
64,839,66
65,815,87
66,886,94
67,574,70
68,391,59
69,598,61
70,634,66
71,607,65
72,568,63
73,596,60
74,587,44
75,516,44
76,373,57
77,436,54
78,324,37
79,228,25
80,197,29
81,168,25
82,135,15
83,111,6
84,93,9
85,86,7
86,63,8
87,56,8
88,67,4
89,41,8
90,47,6
91,44,6
92,43,6
93,36,10
94,42,10
95,42,2
96,57,3
97,47,4
98,51,8
99,49,3
100,59,5
101,56,7
102,66,9
103,76,7
104,87,10
105,100,6
106,101,18
107,101,18
108,100,12
109,172,18
110,129,17
111,152,19
112,231,19
113,249,28
114,292,34
115,367,22
116,470,64
117,498,69
118,586,49
119,478,47
120,389,57
121,401,51
122,380,50
123,348,42
124,365,44
125,361,39
126,352,29
127,260,29
128,200,14
129,186,21
130,152,21
131,124,12
132,99,17
133,68,10
134,89,12
135,78,4
136,58,11
137,37,6
138,30,6
139,50,6
140,25,6
141,38,4
142,25,8
143,18,5
144,21,8
145,17,4
146,14,10
147,9,4
148,13,3
149,15,6
150,18,1
151,19,5
152,24,8
153,28,3
154,28,6
155,29,11
156,32,10
157,34,9
158,30,4
159,31,5
160,30,6
161,51,8
162,35,8
163,29,7
164,44,5
165,40,7
166,50,6
167,58,9
168,57,6
169,76,14
170,100,13
171,103,16
172,127,17
173,156,35
174,158,41
175,178,21
176,157,20
177,199,41
178,240,49
179,239,38
180,211,42
181,198,39
182,187,35
183,166,26
184,48,6
185,41,7
186,62,11
187,54,17
188,66,14
189,66,14
190,96,17
191,92,16
192,87,12
193,112,15
194,129,25
195,140,23
196,158,22
197,141,20
198,115,12
199,89,22
200,124,27
201,109,22
202,135,21
203,123,22
204,135,35
205,162,19
206,164,19
207,196,18
208,200,21
209,244,29
210,222,30
211,230,35
212,324,53
213,324,53
214,358,55
215,361,65
216,295,55
217,227,44
218,187,49
219,211,48
220,239,53
221,271,50
222,354,43
223,338,79
224,317,65
225,410,67
226,464,72
227,383,64
228,353,58
229,359,52
230,360,60
231,439,80
232,426,73
233,439,51
234,360,69
235,341,76
236,325,64
237,354,64
238,353,70
239,355,81
240,407,92
241,377,64
242,300,40
243,336,39
244,274,34
245,251,31
246,245,44
247,211,42
248,216,42
249,204,44
250,171,27
251,167,27
252,151,26
253,172,27
254,183,28
255,158,23
256,181,40
257,198,31
258,175,26
259,188,29
260,180,24
261,184,39
262,188,35
263,169,24
264,194,35
265,178,35
266,178,35
267,187,45
268,199,38
269,193,34
270,189,37
271,211,42
272,167,41
273,158,25
274,170,45
275,181,26
276,239,36
277,238,37
278,264,41
279,271,52
280,275,44
281,221,30
282,267,42
283,275,49
284,222,55
285,194,39
286,179,31
287,165,25
288,164,41
289,151,28
290,171,19
291,131,25
292,115,36
293,136,24
294,159,27
295,109,15
296,89,24
297,98,36
298,167,40
299,159,30
300,149,42
301,152,32
302,144,34
303,99,21
304,98,14
305,102,30
306,99,25
307,94,26
308,78,24
309,84,24
310,76,14
311,87,20
312,62,21
313,69,13
314,78,13
315,89,14
316,63,11
317,77,19
318,100,21
319,100,21
320,160,37
321,144,35
322,193,48
323,189,51
324,281,42
325,318,89
326,409,109
327,552,141
328,629,165
329,716,227
330,812,234
331,930,267
332,1008,318
333,833,279
334,1135,337
335,1206,297
336,1047,329
337,1025,349
338,1041,299
339,844,305
340,740,197
341,640,173
342,480,131
343,379,80
344,350,87
345,288,65
346,300,66
347,283,54
348,341,55
349,302,65
350,287,49
351,287,32
352,230,55
353,213,40
354,224,31
355,171,25
356,125,17
357,130,6
358,123,14
359,154,14
360,112,18
361,131,13
362,146,17
363,114,22
364,119,14
365,143,18
366,180,21
367,170,27
368,189,31
369,199,35
370,205,25
371,244,30
372,244,30
373,269,59
374,304,59
375,306,53
376,232,44
377,322,67
378,303,54
379,308,52
380,356,62
381,352,70
382,388,81
383,487,79
384,352,76
385,349,72
386,484,87
387,450,83
388,488,74
389,448,77
390,513,66
391,424,69
392,440,80
393,401,61
394,368,86
395,423,84
396,446,92
397,408,87
398,422,92
399,425,100
400,443,88
401,474,95
402,463,120
403,438,141
404,412,107
405,369,77
406,316,87
407,297,67
408,292,61
409,329,66
410,291,30
411,300,41
412,253,56
413,275,42
414,257,40
415,233,36
416,239,24
417,206,52
418,200,33
419,173,34
420,212,33
421,204,31
422,192,25
423,166,29
424,164,23
